Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
MOTILALOFS.NS,2021-07-16,2021-07-27,1090.124267578125,1005.2957153320312,-14081.539672851562,-0.07781548835212442,11
CRISIL.NS,2021-06-25,2021-07-28,2468.56640625,2664.744873046875,10005.101806640625,0.07947060540894656,33
GPIL.NS,2021-06-18,2021-08-03,323.3330078125,386.4046630859375,19993.714721679688,0.1950671714593785,46
ECLERX.NS,2021-06-18,2021-08-09,585.9308471679688,695.7565307617188,23283.044921875,0.18743796153518827,52
J&KBANK.NS,2021-07-02,2021-08-09,38.782859802246094,35.439510345458984,-11798.680233001709,-0.08620688298477361,38
HFCL.NS,2021-07-16,2021-08-09,79.4675064086914,68.2281723022461,-13273.653579711914,-0.14143307893219687,24
TARIL.NS,2021-05-28,2021-08-10,13.423036575317383,14.189362525939941,4318.246731758118,0.05709035703826495,74
OLECTRA.NS,2021-07-09,2021-08-10,243.89361572265625,288.5783386230469,21672.090606689453,0.1832139917561593,32
GRAVITA.NS,2021-07-16,2021-08-10,170.40260314941406,170.25595092773438,-119.08160400390625,-0.0008606219562919381,25
DEEPAKFERT.NS,2021-06-18,2021-08-11,403.0170593261719,398.10333251953125,-1326.7062377929688,-0.012192354375410748,54
CDSL.NS,2021-07-23,2021-08-17,639.1544189453125,567.9931640625,-16224.76611328125,-0.1113365608896795,25
TEJASNET.NS,2021-08-06,2021-08-17,326.0779113769531,375.5002746582031,33508.3623046875,0.15156611827078553,11
VEDL.NS,2021-08-13,2021-08-17,157.57098388671875,145.3450164794922,-16431.7001953125,-0.07759022064630934,4
SAREGAMA.NS,2021-03-19,2021-08-20,137.13967895507812,293.58746337890625,80101.265625,1.140791531786177,154
ANGELONE.NS,2021-07-23,2021-08-23,118.51197052001953,97.31086730957031,-21688.72858428955,-0.17889419201639079,31
JSWENERGY.NS,2021-07-30,2021-08-24,246.15853881835938,210.43605041503906,-21326.325576782227,-0.14511984258112604,25
INOXWIND.NS,2021-07-30,2021-08-24,35.212501525878906,28.362499237060547,-22262.507438659668,-0.1945332479086739,25
ATGL.NS,2021-08-27,2021-09-07,1318.767578125,1332.2977294921875,1853.6307373046875,0.010259693665220695,11
